Web,Name
ar,برنامج الأمم المتحدة الإنمائي
ar,برنامج الأمم المتحدة للبيئة
ar,صندوق الأمم المتحدة للسكان
ar,موئل الأمم المتحدة
ar,اليونسيف
ar,برنامج الأغذية العالمي
ar,منظمة الأغذية والزراعة
ar,منظمة الطيران المدني الدولي
ar,الصندوق الدولي للتنمية الزراعية
ar,منظمة العمل الدولية
ar,صندوق النقد الدولي
ar,المنظمة البحرية الدولية
ar,الاتحاد الدولي للاتصالات
ar,يونسكو
ar,يونيدو
ar,منظمة السياحة العالمية
ar,الاتحاد البريدي العالمي
ar,منظمة الصحة العالمية
ar,المنظمة العالمية للملكية الفكرية
ar,المنظمة العالمية للأرصاد الجوية
ar,البنك الدولي
ar,برنامج الأمم المتحدة المشترك المعني بفيروس نقص المناعة البشرية/الإيدز
ar,مفوضية الأمم المتحدة لشؤون اللاجئين
ar,معهد الأمم المتحدة لبحوث نزع السلاح
ar,معهد الأمم المتحدة للتدريب والبحث
ar,مكتب الأمم المتحدة لخدمات المشاريع
ar,الأونروا
ar,كلية موظفي منظومة الأمم المتحدة
ar,جامعة الأمم المتحدة
ar,هيئة الأمم المتحدة للمرأة
ar,منظمة معاهدة الحظر الشامل للتجارب النووية
ar,الوكالة الدولية للطاقة الذرية
ar,المنظمة الدولية للهجرة
ar,منظمة حظر الأسلحة الكيميائية
ar,أمانة اتفاقية الأمم المتحدة الإطارية بشأن تغير المناخ
ar,منظمة التجارة العالمية
ar,مركز التجارة الدولية
ru,ПРООН
ru,ЮНЕП
ru,ЮНФПА
ru,ООН-Хабитат
ru,ЮНИСЕФ
ru,ВПП
ru,ФАО
ru,ИКАО
ru,МФСР
ru,МОТ
ru,МВФ
ru,ИМО
ru,МСЭ
ru,ЮНЕСКО
ru,ЮНИДО
ru,ЮНВТО
ru,ВПС
ru,ВОЗ
ru,ВОИС
ru,ВМО
ru,Группа Всемирного банка
ru,ЮНЭЙДС
ru,УВКБ
ru,ЮНИДИР
ru,ЮНИТАР
ru,ЮНОПС
ru,БАПОР
ru,КПСООН
ru,УООН
ru,Структура «ООН-женщины»
ru,ОДВЗЯИ
ru,МАГАТЭ
ru,МОМ
ru,ОЗХО
ru,РКИКООН
ru,ВТО
ru,ЦМТ
fr,Programme des Nations Unies pour le développement (PNUD)
fr,Programme des Nations Unies pour l’environnement (PNUE)
fr,Fonds des Nations Unies pour la population (UNFPA)
fr,ONU-HABITAT
fr,Fonds des Nations Unies pour l'enfance (UNICEF)
fr,Programme alimentaire mondial (PAM)
fr,Organisation des Nations Unies pour l’alimentation et l’agriculture (FAO)
fr,Organisation de l’aviation civile internationale (OACI)
fr,Fonds international de développement agricole (FIDA)
fr,Organisation internationale du Travail (OIT)
fr,Fonds monétaire international (FMI)
fr,Organisation maritime internationale (OMI)
fr,Union internationale des télécommunications (UIT)
fr,"Organisation des Nations Unies pour l’éducation, la science et la culture (UNESCO)"
fr,Organisation des Nations Unies pour le développement industriel (ONUDI)
fr,Organisation mondiale du tourisme (OMT)
fr,Union postale universelle (UPU)
fr,Organisation mondiale de la Santé (OMS)
fr,Organisation mondiale de la propriété intellectuelle (OMPI)
fr,Organisation météorologique mondiale (OMM)
fr,Banque mondiale
fr,ONUSIDA
fr,Haut-Commissariat pour les réfugiés (HCR)
fr,Institut des Nations Unies pour la recherche sur le désarmement (UNIDIR)
fr,Institut des Nations Unies pour la formation et la recherche (UNITAR)
fr,Bureau des Nations Unies pour les services d'appui aux projets (UNOPS)
fr,Office de secours et de travaux des Nations Unies pour les réfugiés de Palestine dans le Proche-Orient (UNRWA)
fr,École des cadres du système des Nations Unies (UNSSC)
fr,Université des Nations Unies (UNU)
fr,ONU-Femmes
fr,Organisation du Traité d'interdiction complète des essais nucléaires (CTBTO)
fr,Agence internationale de l'énergie atomique (IAEA)
fr,Organisation internationale pour les migrations (OIM)
fr,Organisation pour l'interdiction des armes chimiques (OPCW)
fr,Convention-Cadre des Nations Unies sur les Changements Climatiques (CCNUCC)
fr,Organisation mondiale du commerce (OMC)
fr,Centre du commerce international (CCI)
es,PNUD
es,PNUMA
es,UNFPA
es,ONU-Hábitat
es,UNICEF
es,PMA
es,FAO
es,OACI
es,FIDA
es,OIT
es,FMI
es,OMI
es,UIT
es,UNESCO
es,ONUDI
es,OMT
es,UPU
es,OMS
es,OMPI
es,OMM
es,Banco Mundial
es,ONUSIDA
es,ACNUR
es,UNIDIR
es,UNITAR
es,UNOPS
es,UNRWA
es,UNSSC
es,UNU
es,ONU Mujeres
es,CTBTO
es,OIEA
es,OIM
es,OPAQ
es,CMNUCC
es,OMC
es,CCI
en,UNDP
en,UNEP
en,UNFPA
en,UN-HABITAT
en,UNICEF
en,WFP
en,FAO
en,ICAO
en,IFAD
en,ILO
en,IMF
en,IMO
en,ITU
en,UNESCO
en,UNIDO
en,UNWTO
en,UPU
en,WHO
en,WIPO
en,WMO
en,World Bank
en,UNAIDS
en,UNHCR
en,UNIDIR
en,UNITAR
en,UNOPS
en,UNRWA
en,UNSSC
en,UNU
en,UN Women
en,CTBTO
en,IAEA
en,IOM
en,OPCW
en,UNFCCC
en,WTO
en,ITC
